,location,date,inc_hosp,population,rate
35435,AK,2020-10-01,3.0,731545,0.4100909718472548
35436,AK,2020-10-02,7.0,731545,0.9568789343102612
35437,AK,2020-10-03,5.0,731545,0.683484953078758
35438,AK,2020-10-04,5.0,731545,0.683484953078758
35439,AK,2020-10-05,1.0,731545,0.1366969906157516
35440,AK,2020-10-06,3.0,731545,0.4100909718472548
35441,AK,2020-10-07,8.0,731545,1.0935759249260129
35442,AK,2020-10-08,6.0,731545,0.8201819436945096
35443,AK,2020-10-09,10.0,731545,1.366969906157516
35444,AK,2020-10-10,6.0,731545,0.8201819436945096
35445,AK,2020-10-11,4.0,731545,0.5467879624630064
35446,AK,2020-10-12,13.0,731545,1.7770608780047705
35447,AK,2020-10-13,8.0,731545,1.0935759249260129
35448,AK,2020-10-14,11.0,731545,1.5036668967732676
35449,AK,2020-10-15,12.0,731545,1.6403638873890192
35450,AK,2020-10-16,8.0,731545,1.0935759249260129
35451,AK,2020-10-17,3.0,731545,0.4100909718472548
35452,AK,2020-10-18,8.0,731545,1.0935759249260129
35453,AK,2020-10-19,11.0,731545,1.5036668967732676
35454,AK,2020-10-20,11.0,731545,1.5036668967732676
35455,AK,2020-10-21,10.0,731545,1.366969906157516
35456,AK,2020-10-22,6.0,731545,0.8201819436945096
35457,AK,2020-10-23,5.0,731545,0.683484953078758
35458,AK,2020-10-24,4.0,731545,0.5467879624630064
35459,AK,2020-10-25,10.0,731545,1.366969906157516
35460,AK,2020-10-26,14.0,731545,1.9137578686205223
35461,AK,2020-10-27,8.0,731545,1.0935759249260129
35462,AK,2020-10-28,11.0,731545,1.5036668967732676
35463,AK,2020-10-29,11.0,731545,1.5036668967732676
35464,AK,2020-10-30,12.0,731545,1.6403638873890192
35465,AK,2020-10-31,8.0,731545,1.0935759249260129
35466,AK,2020-11-01,7.0,731545,0.9568789343102612
35467,AK,2020-11-02,13.0,731545,1.7770608780047705
35468,AK,2020-11-03,14.0,731545,1.9137578686205223
35469,AK,2020-11-04,15.0,731545,2.050454859236274
35470,AK,2020-11-05,15.0,731545,2.050454859236274
35471,AK,2020-11-06,20.0,731545,2.733939812315032
35472,AK,2020-11-07,12.0,731545,1.6403638873890192
35473,AK,2020-11-08,19.0,731545,2.5972428216992802
35474,AK,2020-11-09,18.0,731545,2.4605458310835284
35475,AK,2020-11-10,15.0,731545,2.050454859236274
35476,AK,2020-11-11,13.0,731545,1.7770608780047705
35477,AK,2020-11-12,16.0,731545,2.1871518498520257
35478,AK,2020-11-13,28.0,731545,3.8275157372410447
35479,AK,2020-11-14,14.0,731545,1.9137578686205223
35480,AK,2020-11-15,19.0,731545,2.5972428216992802
35481,AK,2020-11-16,17.0,731545,2.323848840467777
35482,AK,2020-11-17,13.0,731545,1.7770608780047705
35483,AK,2020-11-18,10.0,731545,1.366969906157516
35484,AK,2020-11-19,23.0,731545,3.1440307841622865
35485,AK,2020-11-20,25.0,731545,3.41742476539379
35486,AK,2020-11-21,24.0,731545,3.2807277747780383
35487,AK,2020-11-22,17.0,731545,2.323848840467777
35488,AK,2020-11-23,27.0,731545,3.690818746625293
35489,AK,2020-11-24,30.0,731545,4.100909718472548
35490,AK,2020-11-25,28.0,731545,3.8275157372410447
35491,AK,2020-11-26,13.0,731545,1.7770608780047705
35492,AK,2020-11-27,15.0,731545,2.050454859236274
35493,AK,2020-11-28,18.0,731545,2.4605458310835284
35494,AK,2020-11-29,16.0,731545,2.1871518498520257
35495,AK,2020-11-30,28.0,731545,3.8275157372410447
35496,AK,2020-12-01,20.0,731545,2.733939812315032
35497,AK,2020-12-02,15.0,731545,2.050454859236274
35498,AK,2020-12-03,20.0,731545,2.733939812315032
35499,AK,2020-12-04,17.0,731545,2.323848840467777
